"region","year","min_percent_canopy_density","loss_ha","gain_ha"
"Apur\u00edmac",2008,30,123,35.4166666666667
"Apur\u00edmac",2008,50,93,35.4166666666667
"Apur\u00edmac",2008,75,59,35.4166666666667
"Apur\u00edmac",2009,10,146,35.4166666666667
"Apur\u00edmac",2009,15,145,35.4166666666667
"Apur\u00edmac",2009,20,143,35.4166666666667
"Apur\u00edmac",2009,25,141,35.4166666666667
"Apur\u00edmac",2009,30,139,35.4166666666667
"Apur\u00edmac",2009,50,111,35.4166666666667
"Apur\u00edmac",2009,75,76,35.4166666666667
"Apur\u00edmac",2010,10,116,35.4166666666667
"Apur\u00edmac",2010,15,115,35.4166666666667
"Apur\u00edmac",2010,20,112,35.4166666666667
"Apur\u00edmac",2010,25,111,35.4166666666667
"Apur\u00edmac",2010,30,110,35.4166666666667
"Apur\u00edmac",2010,50,85,35.4166666666667
"Apur\u00edmac",2010,75,58,35.4166666666667
"Apur\u00edmac",2011,10,135,35.4166666666667
"Apur\u00edmac",2011,15,134,35.4166666666667
"Apur\u00edmac",2011,20,133,35.4166666666667
"Apur\u00edmac",2011,25,132,35.4166666666667
"Apur\u00edmac",2011,30,131,35.4166666666667
"Apur\u00edmac",2011,50,114,35.4166666666667
"Apur\u00edmac",2011,75,86,35.4166666666667
"Apur\u00edmac",2012,10,232,35.4166666666667
"Apur\u00edmac",2012,15,228,35.4166666666667
"Apur\u00edmac",2012,20,224,35.4166666666667
"Apur\u00edmac",2012,25,222,35.4166666666667
"Apur\u00edmac",2012,30,219,35.4166666666667
"Apur\u00edmac",2012,50,168,35.4166666666667
"Apur\u00edmac",2012,75,115,35.4166666666667
"Arequipa",2000,10,0,0
"Arequipa",2000,15,0,0
"Arequipa",2000,20,0,0
"Arequipa",2000,25,0,0
"Arequipa",2000,30,0,0
"Arequipa",2000,50,0,0
"Arequipa",2000,75,0,0
"Arequipa",2001,10,3,8.41666666666667
"Arequipa",2001,15,3,8.41666666666667
"Arequipa",2001,20,3,8.41666666666667
"Arequipa",2001,25,3,8.41666666666667
"Arequipa",2001,30,3,8.41666666666667
"Arequipa",2001,50,3,8.41666666666667
"Arequipa",2001,75,2,8.41666666666667
"Arequipa",2002,10,9,8.41666666666667
"Arequipa",2002,15,9,8.41666666666667
"Arequipa",2002,20,9,8.41666666666667
"Arequipa",2002,25,9,8.41666666666667
"Arequipa",2002,30,9,8.41666666666667
"Arequipa",2002,50,9,8.41666666666667
"Arequipa",2002,75,8,8.41666666666667
"Arequipa",2003,10,6,8.41666666666667
"Arequipa",2003,15,6,8.41666666666667
"Arequipa",2003,20,6,8.41666666666667
"Arequipa",2003,25,6,8.41666666666667
"Arequipa",2003,30,6,8.41666666666667
"Arequipa",2003,50,5,8.41666666666667
"Arequipa",2003,75,4,8.41666666666667
"Arequipa",2004,10,7,8.41666666666667
"Arequipa",2004,15,7,8.41666666666667
"Arequipa",2004,20,7,8.41666666666667
"Arequipa",2004,25,7,8.41666666666667
"Arequipa",2004,30,7,8.41666666666667
"Arequipa",2004,50,6,8.41666666666667
"Arequipa",2004,75,4,8.41666666666667
"Arequipa",2005,10,16,8.41666666666667
"Arequipa",2005,15,16,8.41666666666667
"Arequipa",2005,20,16,8.41666666666667
